Summary,Sentiment
never buy i received defective product everu time after one replacement again i received defective product horrible experience i have wasted my time for co ordination with engineer for installation and the delivery person but end result is zero i had to return the productnever never buy,negative
poor quality clothes not good,negative
cargo got shrink by two inches after wash i am completely dissatisfied with product quality the manufacturer did not soak the cloth in water before stitch i need this to be replaced otherwise i will have to rethink before placing order with flipkart,negative
one problem in this watch you cant pick up call there r no option to pick any call,negative
not good enough,negative
bat is good but bag and gloves are poor and ther is return on sticker of bat that this is english wellow that is totally rong nice for only low level maches,negative
1 in terms of build quality poor oneplus bullets wireless z was 10 times better then this price was same of this but that was more comfortable around your neck the quality of rubbing so good but in this one you will find no difference between oneplus and any other brands neck band2 connectivity i bought it recently 2 days back and im already facing connectivity issue after detaching these ear burds it should be auto connect to your phone but sometimes its not working also it,negative
size not big as shown regular cushion size dont like,negative
quality not good not charge working,negative
very bad,negative
very bad stitching,negative
quality is bad,negative
kindly do not buythe washing is patheticdoesnt wash all the utensils properly and the ifb service is even more patheticvery very bad product experiencewaste of money,negative
product build is goodnot for boiling milk and cooking noodlesi gave 3 star becoz the water leaks out of the kettle so not for storingrefer uploaded imagethermostat is there which senses optimum temperature and auto shuts off the power supply so no need to watch over italso customer servicestovekraft for the product is not good,negative
i like to return the product not working,negative
very worst dont buy,negative
very poor not use,negative
only one week product,negative
not good,negative
bad,negative
quality not good,negative
purchased it from flipkart no issues on delivery but the product started developing problems in 15 months had a problem connecting with hdmi cable and also bt now lying there without any usage waste of money dont buy this brand of soundbar go for something reputed,negative
very poor quality waste of money,negative
bad,negative
quality is very poor,negative
please donot buy this product i bought this product but in 2month the power button is not working battery back up is not goodi requested donot buy this product,negative
very bad shoes dont buy,negative
very bed quality,negative
not good,negative
waste of money,negative
electric earthing problem while charging,negative
reducing 1 star for not giving sediment filter,negative
not good so much,negative
not good,negative
please do not buy here firstly flipkart doesnt do for delivery for this item we had to pick it up from the nearest hub more than 20km awaysecondly the seller is selling either factory second or defective pieces the inverter did not function at all upon installation the company technician arrived after two days of persistent efforts to say that motherboard is faulty he then went away for a few days saying he will fix it once new motherboard arrives after five days or so he ca,negative
poor quality,negative
product not as expected,negative
very weast material,negative
very bad it is not go to return,negative
bad quality,negative
it is not good quality,negative
not as effective as alexa in functionality nor as good in audio quality as alexa,negative
not nice please dont order,negative
exast pipe quality is very poor,negative
after 4 months chimney started weeping sound most disgusting product ever purchased from flipkart,negative
product is defected not working,negative
quality is not good color is doll,negative
quality is not good installation is way to difficultwhile installation placstic got crack,negative
very bad product charging point not available,negative
all are broken item i returned it but exchange item are also broken waste of money price is to high,negative
not working at all,negative
quality poor,negative
worst,negative
my remote got demage,negative
not perfect for the this cost,negative
very bad,negative
quality is not good,negative
fabric is not as per standard not recommended at all waste of money,negative
bad quality,negative
poor finish rubber parts mixing with food items,negative
poor product,negative
bad quality and not casting all vedios,negative
withing 2 weeks it is not working as ive copied my data from my laptop on second day and after 2 weeks it is not showing on any pclaptop although when im connecting it is running and the light is blinking but not showing on my laptop drive,negative
performance not good,negative
not up to the mark after taking feeling gastic problem near liver,negative
we have recieved damaged piece mentioned above box not charge but we are not saw on that time and flipkart also not mentioned product snoon above bill repairing time in service engineer asking about sno,negative
good product but no keyboard backlight,negative
waste of product dont buyit doesnt work properly not even for 1 monthworst customer support,negative
not that much good disappointing,negative
waste of time and money,negative
performance is not so good lcd touch response is slow and processor speed is slow i woundt believe its 2gb ram,negative
poor quality,negative
bowl not iam satisfied,negative
pore quickly,negative
very bad stuff,negative
at full volume sound not perfect,negative
very nice product but grip tape not provided that is the only disadvantage,negative
waste,negative
bad service from flipkart what investigation you are doing called flipkart customer care around 20 times this product is not delivered why it showing delivered,negative
no it is comfortable but it has very bad quality it is unuseful after 2 month of use,negative
everything is okay but the leather is verry hard notes being damage in it thats not good thing in this otherwise looks good this wallet,negative
range is not good,negative
doesnt seem to reduce overall dust levels in the room significantly,negative
coconut scrubbing is not thereforeelseothers are fine,negative
quality is not good,negative
very bad,negative
quality is very bad dont waste money on this product i carried one laptop on the first day of using n strap comes out terrible product,negative
worst,negative
very bad quality uncomfortable product size not proper fit,negative
very bad product waste money,negative
worst quality money waste,negative
dont but for 900its not worthy,negative
broken 8n 1 months very poor quality,negative
worst,negative
not so good,negative
very bad quality,negative
bluetooth connectivity issuesdevice will restart automatically when connected to bluetooth devices for every 2 minutesnot recommended,negative
poor quality,negative
material was not good quality,negative
waste,negative
not warking,negative
not deserve even one star quality is very poor,negative
very poor quality my bat broken just after 2 days of playing tennis ball cricket,negative
machine accessories not available,negative
worst type system,negative
poor quality,negative
dont buy anyone because sound quality is very poor nd hate u filpkart nd dont buy by filpkart nd dont do online payment in filpkart money is gone nd order item ill be gone dont buy electric items,negative
no long lastic,negative
vry poor material,negative
very bad quality,negative
west product no led lights,negative
its fit and comfert but its no long lasting,negative
good machine at that price but drum is kind of max plastic only some part is steel drum quality is not that great not sure how long it will run but u can definitely buy this under 10k,negative
there is no proper manual for installationit takes so much time for fixing itthe table is not so goodbooks doesnt fit into itits an average product,negative
flug not a good condition,negative
good quality product but installation is little bit difficult,negative
quality was not good its to bad,negative
all things are good but dual device pairing feature is missing,negative
low button switch was not working again the machine stoped after few minutes in auto mode from the day one when the complain lodged to the flipkart and thereafter few days kent sent their representative to inspect the machine he came and note down the problem then he recommend to sent some technical person from their service centre a technician came and he did something with the control panel for an hour or so and said that the problem was corrected and he promised us to visit again to c,negative
okbut cost is very high,negative
terrible pls provide some lengthy and easy to attach rods for connecting such a menace to assemble it will really test your patience,negative
bad quality,negative
delivery boy behavior is not good,negative
not working properlyvery bad,negative
heating problem,negative
it is average product,negative
not use,negative
poor packing actual space is not mentioned,negative
quality low,negative
bad quality its not even smudge free,negative
fan speed is not so good,negative
multimedia screencast notes for very bad aitem,negative
size problem,negative
worst cable ever,negative
lowest quality,negative
not useful,negative
worthyfor this price it is worthy seize as per pic quality is good after handwashing no colour fade,negative
bad quality,negative
yellow spot occur,negative
i8 l capacity given but i received small size bowl totally disappointed gifted to my mother in law,negative
very poori got broken basuri it have not returned option,negative
vary bad item money wasteso dont buy this type of product,negative
not satisfied faltu itom,negative
poor quality,negative
very poor quality physical product is very different from advertised product no comparison at all,negative
you cant use amazon prime video on this plus it doesnt allow installation of apps just phone screen mirroring rather buy amazon fire stick,negative
leather is genuine sole cracks within a month need some improvement in this very disappointed with product not recommended for acidic working conditions,negative
bad quality,negative
not good,negative
it is very bad quality,negative
not good product damage,negative
worst company ever after completing one yr i can suggest not to buy this product both steal jar has broken not in working condition,negative
very bad,negative
very bad,negative
very small waste of money,negative
not working wifibad,negative
juicer can extract the juice but the quantity is as per the cost of the machine i see the juice when i squeeze the pulp extract with my hand expected it will work much better so what ever reviews i saw are all fake including the ones i saw on you tube i also see some veg slices along with pulp finally i again have to filter the juice as there is some pulp left i feel i wasted 5k on this hopeless product,negative
no enough equipment,negative
average broken in 4 month,negative
after 80 charging charger is not working,negative
bad,negative
product but finishing very bad,negative
worst product it was not work with in 2months,negative
bad quality,negative
its not good,negative
worst product,negative
very very bad,negative
poor quality stitching is not good and fabric is damaged,negative
i fulld charges but only 50 is there why,negative
useless bcz of paper,negative
im not happy,negative
not recommend to buy very low height and feeble,negative
the size 10 of this clogs doesnt fit for a person who wears a size 10 shoes,negative
not flying,negative
worst,negative
very thin l dont like it,negative
quality is very bad dont buy dont go with review it is really bad product,negative
from the first day i am getting the issue watching youtube but from background tvdish tv sound is coming sometimes sound automatically goes upsupport is also not good no one picks the call,negative
this was good but the second watch was very worst one week only gone,negative
very bad quality and color dont buy it,negative
bad in real look,negative
very poor quality,negative
material is not good,negative
not good,negative
bad quality this item,negative
some times remote doesnt works then you have remove batterys then after 1hour you have to keep batteryand press power button for 1 min then it works,negative
product is not good it is worthless,negative
battery backup too low and not refund policy,negative
after using it for 15 days the charger is not working now,negative
very very bad quality2 are damage,negative
not worth quality is poor,negative
very bad quality all the stitch came out within 10 mins of use do not buy,negative
the product u get 2 times damaged,negative
the motor became jam in 20 days,negative
bad,negative
problem slow processor for calls camera back overall ok front tottaly waste display okbattery superperformance just good overall mobile 70100 per mobile capacity and rate,negative
worsted product,negative
third class quality its synthetic not a cotton socks,negative
not good,negative
dont purchase this i had a worst experience a local grinder is working past 10 years and this branded had got a 2 time repair in last 6 months,negative
bluetooth not working after 2 days sound quality not good in sony speaker,negative
worst product,negative
waste product,negative
very bad quality,negative
motor quality is not goodits getting over heat,negative
waste of money,negative
mobile videos and youtube videos not supported signal problem,negative
bed not connect wifi facke,negative
bad,negative
range only 710 miter please don t buy,negative
its very poor quality,negative
worst experience,negative
worst,negative
ok but very lazy not in thickness,negative
worst productproduct is not working satisfactory,negative
deliveryreplacement was quick but till now no demonstration even after repeated requests to singer singer cant expect the customer to know everything about their machine without demonstration and proper services,negative
very bad product is damaged,negative
very bad,negative
worst product,negative
very bad quality one washing colour defect and bad swing,negative
very bad productweast of moneydont bye it,negative
its not good fabric,negative
holder design is best but pinto pinto working not good,negative
vary vary very very bad,negative
bad service within 2 months dont buy this product bad connectivity,negative
the speed of the hard drive is really very slow extremely disappointed,negative
i want my money back this power bank is not even fully charge my redmi 9 power smartphone my mobile have 5000 battery capacity this power bank have 10000 battery capacity but it cant fully charge my mobile even for a single time,negative
dont ever buy this product im telling you honestly its been almost two months since i bought this and from the time of delivery it was fused and i have repaired two times now its spoil again gonna be third time to repaired,negative
bad quality,negative
bad quality,negative
you should mention that we need to buy additional filter worth rs 660 engg charged me for the same and advised that its mandatory to fix it its better to avoid hidden charges and give a clear picture not happy with this part he didnt even give me the bill of that filter,negative
send damage product dont buy,negative
not getting connected as a simple bluetooth music speaker,negative
grinding not good still having traces of ricedal ungrinded even after 40min of grinding,negative
not good quality,negative
dont fit 225 litter big bottles no locking available,negative
good product bt fabric quality is vry vry poor,negative
not satisfied,negative
bad,negative
not my choice went with dyson v12 nowhere eureka is match with dyson,negative
liked itbut there is no 3pin 16 a plug top with this geyser so we have to buy one and also dont have free installation with this model which is with bajaj new shakti geyser within the same price range,negative
poor fabric,negative
below average,negative
not good,negative
bed creaks upper side,negative
not good quality flipkart service not good,negative
quality is very bad,negative
received yesterdaywhat i dont like side wall of refrigerator getting hot within 1015 min of use i know its common but both side wall and this temprature is realy high as compared to others no locking systemwhat i like looks delivery working fine space enough outside temprature indicator,negative
poor quality as mentioned by the seller its neither cut proof nor water proof not safe to use in kitchen,negative
bad product doesnt buy not working but no return policy,negative
very bad quality,negative
bad product,negative
not worthy product,negative
bad,negative
not working waste of money zero result product,negative
worst quality grinding speed is very slow,negative
thin cloth,negative
poor quality,negative
very bad product,negative
very expensive as compared to other micro fibre clothes not worth then 200,negative
it doesnt charge the phone properly have to keep it in sunlight for an hour only then it starts working but its the same story after every 10 days,negative
not upto levelit is below standard,negative
bad,negative
it stopped working within a week no service centre for repair this product,negative
not good not bad,negative
very worst produce after 3 days it not workdont buy this produced,negative
it think the bullets z has no basses havenbut this bullets z2 was an ultimate basses i luv it,negative
bad,negative
poor quality,negative
bad quality,negative
good but heating badly for just 5 min use,negative
not good,negative
worst product,negative
bad product,negative
very poor,negative
mixer jars gud performance but jar base is plastic not a metal,negative
hot water bag is not workingbad experience,negative
some features not working and connecting slow,negative
wast its not buy this product,negative
bad,negative
useless bcz of paper,negative
quality not goodbat cover missingtoo heavy for light tennis ball not happy with the product,negative
not nice,negative
very poor quality,negative
picture quality is not clear but has i did not like the camera,negative
very bed,negative
high price not worthy,negative
very cheap productplease dont buy this after 2 month it is broked,negative
not connected by bluetooth also usb totally waste of money,negative
qualti is not good,negative
poor stitching palozo good,negative
worst worst worst,negative
low quality,negative
bad qality,negative
waste of money partical board is not in good condition all edges are open edge bonding not donequality of the stand is not goodvery waste,negative
dont buy it not good only cooking rice is ok but if you are a bachelor and want to cook curries this one is not for you go for bajaj coockers in this the problem will be it wont stick in cook mode unless you put enough quantity,negative
quality of product in not good,negative
star can not be less than this thats why i have given1 star this product is good for nothing and its not a juicer it is just a grinder with a little filter which apparently dont filter anything juice we get is like grinded fruit without juice,negative
very bad,negative
there is no effect the medicine is a useless claim,negative
very very bed,negative
this product is very low colour like old product,negative
its not high speed fan flipkart cheated well,negative
verry poor this product i am not satisfied with this one so i want return this product,negative
it cannot clean tough stains,negative
wen i bought price was higher after 2 days price was less i thought to return but price issues option was not there seriously i felt very bad,negative
worst i tried,negative
its not working properly,negative
fully broken,negative
very bad,negative
very worst product and call automatic disconnect dear all plz dont buy this product and also flipkart customer not responded,negative
horrible experience,negative
thumbs down for this product,negative
processor is very slow,negative
bad quality,negative
bad productnot fit for my kid,negative
very very worst your service damage this inverter refund request but no response,negative
fitting prblm low quality synthetic,negative
very poor quality of plasticss,negative
poor quality and very bad smell,negative
it stopped working,negative
smell is bad no usebad quality,negative
didnt fit my requirement,negative
dont waste money for it,negative
water taste worst the water taste also coming bad smell,negative
stopped working after 20 days really disappointed,negative
not good,negative
waist for money joints quality not good,negative
in this product very low quality pipes iam not like this,negative
not good product it get colourless in 15 days,negative
very poor productagain i never purchase any product by flipkart,negative
dont buy this routerkeeps on disconnecting and pc cannot detect the wifi if it is detected then it says cannot connect after using 4 months this problem is happening,negative
wireless range is low my old dlink 615 was way better than this dis connects now and then,negative
bad product,negative
not recommended,negative
not working,negative
not worthfull for money just average,negative
worst washing machine i have ever seen,negative
very lose item,negative
dont buy this product,negative
bad,negative
size very small,negative
it has all things but no water colour,negative
product is bad nathing useful this product,negative
very bad,negative
very bad product sandal damaged even in one day usage,negative
cheap quality and not satisfied,negative
dont charge that fast pathetic charger of all time,negative
finishing not good,negative
not working,negative
its not good,negative
tshirts quality poor,negative
not good product,negative
weast product,negative
worst product,negative
dont buy poor quality,negative
3rd class product with 3ed class service,negative
worst water purifier ever and after sale service is worst part of it save your money go for other brands,negative
kettle wire is too short very difficult to use,negative
no solution is there in the kit,negative
i expected much better product but got very bad quality product disappointed me a lot i do not recommend this for anyone,negative
worst productwaste of moneyit cannot charge one mobile fully,negative
very bad product not good,negative
just only useful for hands not coming for legs so iam very sad dont buy pls,negative
good product but i gave it to the sky blue color i ordered but you sent the gray this is the third time thats not good,negative
its not worth for money,negative
running slow,negative
the grinder keeps making weird noise while rotating we have been contacting the customer care and though they say they have rectified the issue with the rotor the issue keeps repeating,negative
size issue,negative
bakwas device hai dont buy only wastage of money,negative
very bad product,negative
very bad,negative
very thin material not at all good thread is coming out,negative
not good,negative
very bad quality product,negative
apple products and performance are ok but while delivering the box is tampered at the corner and the seal has been broken at one sidebut i registered the product and believe its genuine one,negative
bad product,negative
i done mistake to buy this slipper its very uncomfortable in raining season very irritating,negative
poor sound quality dont take this if you need to watch movieonline class and gamesonly you can use paint and notepad,negative
very bad product,negative
always i faced problem with flipkart u cancel return request till last date product was totally damaged always u cheated related to return i hv to kept damaged product i faced that type of problem 10 times,negative
worst product please do not buy very cheap material only looking good in images over flip kart uploaded actual looking is worst not even u can return once install dont go for it giving 1 star is also worthless for it after 2 month uses all fungus saturated on all over tv unit very upset with flipkart selling such cheap product,negative
poor product do not purchace from flipcart product is giving low quality,negative
very poor quality,negative
assembly takes our breath out,negative
not working,negative
thrid class product,negative
one plate was broken,negative
waste of money,negative
not very comfortable,negative
very very bad please dont buy dont buy low quality and bad productjust 1 time use then its fire its dont buy please everyone,negative
very bad one dont buy this,negative
even though they offer 400 pages per catridge you will get maximum 80100 pages only go for laser printers,negative
my inverter got faulty with in one month of purchasebrunt during running condition,negative
very high price not value for money,negative
waste flip cart till now installation not done,negative
connectivity not doing well bluetooth remote press one time will work multiple click itself chrome cast work for 15 20 mins after then auto get disconnect software bugs lagging mi not supporting to resolve this issues by update,negative
it is not google home nest mini it is old generation cannot connect with wifi,negative
very very bad product,negative
processing slow,negative
very bad this bat is,negative
not run,negative
broken material in side showing 750 w but inside 500w waist for money not reply costomer care just used 10day after burnt winding,negative
very worst item,negative
this is bad quality phone,negative
it is to bad,negative
very bad experience,negative
worst product strongly recommend not to buy this type of cheap product cheating my rating is zero for this product features mentioned in box doesnt work 1 camera resolution is worst in day mode and night mode 2 two way communication doesnt work camera is of no use just kept in showcase among the doll placed,negative
its keep on shaking when you keep your mobile and touch it as if there is a flaw in design,negative
wast tonur no use it ll print only 150 pages,negative
worst pants,negative
very small not good,negative
thermal issue frequent crashes clock speed decreases at high temperature,negative
it stopped working in 3rd month i haver hardly used this product 10 15 times,negative
bad product,negative
pictures quality is not good,negative
bad quality,negative
if u are buying for camera itz worthless but remaining all aspect itz full of worth,negative
very poor quality,negative
best for small spaceeasy to install but the fabric quality was not good otherwise product was good,negative
wrost experience flip kart not arranged for demo and customer care is not working i think i was trying to reach them but its unresponsive its better to avoid buying consumer electronics from flipkart,negative
product is just ok not so good,negative
price is too highnot worth it,negative
poor quality,negative
worst product just after 5 days of delivery the product got broken i dont recommend this to you,negative
stitching and quality of the products are very bad,negative
comfortable but quality is not good broken in 1day,negative
bass is low sound quality of normal over all ok,negative
good service by flipkart but not happy with the services of bajaj they havent install my geyser yet its over than 10 days,negative
the seller is worst fellow the cadridge not working when i installed in printer its showing empty i tried to return but there is no return policy dear flipkart please dont encourage like this sellers actually i purchased this in my tiet budget dear flipkart can you please help me,negative
not useful for me,negative
not working,negative
great build quality does what is supposed to for the price cant ask for more basic no frills oven highly recomended also yall bitching about demo driving lessons dont come with new car neither dressing lessons come with new clothings if you cant figure out how to use it then probably its not for you it doesnt deserve 1 or 2 stars for yall being so dumb,negative
worst,negative
quality is not better,negative
one of the two screws of below plate is loose fitting the thread is not tight fittingcustomer care service by phone is very bad they said the local care will contact you but did not,negative
its not like good quality carpet i did not like its quality,negative
rod is poor not fit proper,negative
charging adaptor is not going inside properly its very tight as the mobile holder stand charging holes is small,negative
very bad,negative
button not working properly 2nd time i ordered same problem,negative
i dont like device sound quality i want refund against this product i want to buy one plus bullets z series bass edition this product is very poor in quality ur team do not help me poor service by ur team,negative
not expected size,negative
after 1 month of usage pump stopped working,negative
it is very bad product i want to suggest that the this because it has no limit to the waste of the fruit not exit i requested to all customer to dont buy this product,negative
some stains are applied on the clothes after the wash the dresses with no stains are washed and they come out of the machine with stains what s this,negative
poor board quality,negative
small size,negative
i reccomand not to buy this headset sometimes got stuck for 1sec gap this irritates me and annoying since charger port lid always open sweating got inside that mic in this headset is not so clearly audible while using the mic for phone calls i get to hold the mic region near my mouth,negative
automatically switched off in just 15 daysscreen becomes half blackbattery is good design is good but i think performance basis i dont think its a reliable phone very slow phonedont waste your money,negative
1 star deduct because of no one come for domo,negative
bad quality,negative
worst product even after watching all youtube videos and taking due care both cartridges stopped working fully after filling ink both were printing pale colours and pale gray after filling they both stopped workingthe ink saturates near the cartridge end but never prints anythingbad cant go below 1 so giving 1,negative
waste productwithin one month its not working,negative
worst products,negative
bad,negative
dont buy it i am unable to connect my phone to the watch very dissapointed very angry,negative
dont buy it is very worst product,negative
waste product not hot,negative
3 months damage shose,negative
very bad quality,negative
this review is after 2 years of purchase the horizontal lines have appeared on the screen inspite of utmost care if the life of this product is 23 years at this cost then this is the costliest product disappointed with the deteriorating performance just after 2 years,negative
cleaning capacity is good but overheating every time within 2mnss not soo comfortable to use,negative
not useful as a speakercontinuous power supply is requiredwifi is required,negative
cheap quality,negative
very bad,negative
iys not a excellent product and grinding time also high we need to add small quantity of material not full amount at a time i dont recommend this product for purchase,negative
worst experience with flipkart,negative
not working,negative
very small size,negative
not charging after 7 days only,negative
not good,negative
worst quality,negative
slow charging,negative
taste is awfulunable to return due policytds and ph values are not upto mark think before you buy,negative
all threads are coming out from the stitching highly disappointed,negative
always keeps getting disconnected from my wifi and doesnt work independently need to install google home app on your phone to use this device i also own an alexa dot and thats much better as compared to this one,negative
poor machinepoor servicesmachine is making horrible noise low quality parts should put this under toy sectionmotor is not working after 15 yearspoor partsvery poor service,negative
quality is bad,negative
printed paper is very black,negative
not ok,negative
after somedays it stopped working,negative
very bad quality very very bad,negative
it took long time to fix was very small in size specially stand side cant keep much big size show pieceshave to give additional screw found gap after fixing,negative
product is very poor in quality poor quality of wood has been used,negative
bad,negative
looks good but quality of the cloth is really very bad,negative
not good,negative
received delivery on time however if you want to buy mi stick please check your hdmi slot area in my case stick is not getting fixed i needed hdmi extension cord to attach to my haier tv mi should work on length of the stick as it will be problematic if tv is having hdmi slot at bottom side of tv,negative
not good,negative
gud but after washing the fibers are not in good condition,negative
issued my speed button 1 and 2 is not working,negative
replesment divice this divice is not like i like me a pach coad divice,negative
worst tv the tv was worked only 3 days after installation,negative
the machine is too old and does not working in properly,negative
bad product,negative
no complain go for it,negative
received the product in sealed box but inside the box the products finish is very bad looks like it is refurbished,negative
cheap quality it is not a fast charger,negative
one of the worst purchase from flipkart product quality is worse plz dont go for it,negative
this product is very poor,negative
flipkart know how to make foolish to simple person,negative
very small dnt purchase,negative
quility is very bad dont buy this is not cotton fabric,negative
good product but one boul is broken,negative
screen bleeding issue but,negative
heat while use after 20 or 30 mint,negative
it is ok not good qulity,negative
nice products this range but only chimney no pipe,negative
dnt waste your money,negative
laptop charging slowly and in gta 5 30 fps while game is in its default settings 7 days replacement time is veryless,negative
a very slow charger even a normal charger is better than this dont waste your money,negative
sole is very poor its not like safety shoe,negative
its not working,negative
worst quality items,negative
the elastic is so loose it will certainly slack after one wash and cloth is so thin that i can see my foot through the gaps no return policy just means the seller is not interested in improving customer experience,negative
not for roasted chicken otherwise ohk,negative
nice but no without bulp,negative
had a firestick non4k version was excited about google tv platform 4k and bought this the video quality is not great the home screen has blurred images does not come close even to match 1080p video quality as a firestick,negative
material not good,negative
bad return n replacement policy in flipkart,negative
very bad product fumes comes from the motor while the installation jars are not fixing properly dont buy poor quality product waste of money,negative
very very poor quality kettle from pigeon am totally disappointed on the purchase review after using it for 3 weeks1heat spreading on entire kettle especially on handle unable to touch on bear hand2during boiling plastic burning smell coming on top of kettle3autoshut off not working4kettle weight is very less not credible at all totally waste of money,negative
please do not buy this product complete waste of 1298,negative
wrost stichting and fitting,negative
very bad parfum my money best,negative
totally down doesnt work,negative
very badwithin one month not workingvery bad,negative
cooling not proper,negative
ruf matrial,negative
bering is so bad,negative
when connected hdmi some times it is working and sometimes it is not horrible experience with this sound bareven return request cancelled by the technician stating that it is working fine after multiple follow ups and complaints technician apptoved return,negative
one bowl broken very badly,negative
not good seeds are not germinating no saplings are grown,negative
plastic of body is not good else all is good,negative
dont buy,negative
very very bad product dont buy,negative
bad quality,negative
worst experience with flipkart,negative
use it for temporary purpose not a value for money product,negative
waste,negative
worst not good for idly not smooth batter,negative
it is hurt my ears my ears is paining from insidethis product is not comfortable,negative
the processor wasnt working,negative
within 5 months it stopped working,negative
blade quality not good broken,negative
damage product very worst very damaged product,negative
sound quality are good but waste of money,negative
not grinding well,negative
defective piece,negative
product is worstour delivered materials is damaged within 15 days,negative
very worst product for this price no air push and whole product has lot of scratches along with motor covered with tape which covers maker details main issue is no cooling and defected product no cooling less air throw and lot of defected plastic body that needs a refund for this order very very unhappy with the product as it has lot of issues,negative
good job by flipkart but team jeeves suck communication with installation team is very poor,negative
it not work proper,negative
worst product i have purchased in my life no warranty or guarantee of product in my opinion dont buy this product,negative
product got damaged after 15 days very poor product this platform is nit trustablemany time i used to buy but platform make me very disappoint,negative
very bad product,negative
no intensity no use,negative
good product but when i play songs in low volume it doing some wind noise and doing beep beep sound that irritating,negative
low quality,negative
waste of money,negative
not good product,negative
worst of money1 camera quality is to poor2battery charging is too slow3video quality average,negative
dont buy very very bad product,negative
rust product,negative
waste of money less than 40 prints,negative
quality is not good,negative
bad quality,negative
size not good,negative
waste of money dont buy this type of third class android tv,negative
i have received all seeds well packed with every details but not sure will it grow or not will change my review after seeing the quality of plants afterall it is seed and how could anyone give review without getting flowers,negative
worst dont buy money waste,negative
verry worst product,negative
waste product,negative
i tried all suggestions that is available on internet to connect this device but it never worked,negative
one flug is loss,negative
sound quality very cheap and battery backup also so weak,negative
waste product,negative
plastic quality is not so good but size and design is good for me for using as file rack,negative
total waste of money,negative
poor product,negative
worst product please dont buy not easy to avail warranty from samsung please please dont buy worst samsung company products,negative
very poor 3 seeds and damage products,negative
its d worst productdnt waste ur money in this,negative
bad quality,negative
